season,week,celebrity,trend,trend_filled,trend_missing_raw,trend_filled_from,timeframe,kw
27,1,Alexis Ren,32.714285714285715,32.714285714285715,False,original,2018-09-24 2018-09-30,Alexis Ren Dancing with the Stars
27,2,Alexis Ren,34.0,34.0,False,original,2018-10-01 2018-10-07,Alexis Ren Dancing with the Stars
27,3,Alexis Ren,17.714285714285715,17.714285714285715,False,original,2018-10-08 2018-10-14,Alexis Ren Dancing with the Stars
27,4,Alexis Ren,17.857142857142858,17.857142857142858,False,original,2018-10-15 2018-10-21,Alexis Ren Dancing with the Stars
27,5,Alexis Ren,17.285714285714285,17.285714285714285,False,original,2018-10-22 2018-10-28,Alexis Ren Dancing with the Stars
27,6,Alexis Ren,20.142857142857142,20.142857142857142,False,original,2018-10-29 2018-11-04,Alexis Ren Dancing with the Stars
27,7,Alexis Ren,24.571428571428573,24.571428571428573,False,original,2018-11-05 2018-11-11,Alexis Ren Dancing with the Stars
27,8,Alexis Ren,21.857142857142858,21.857142857142858,False,original,2018-11-12 2018-11-18,Alexis Ren Dancing with the Stars
27,9,Alexis Ren,20.714285714285715,20.714285714285715,False,original,2018-11-19 2018-11-25,Alexis Ren Dancing with the Stars
27,1,Bobby Bones,24.142857142857142,24.142857142857142,False,original,2018-09-24 2018-09-30,Bobby Bones Dancing with the Stars
27,2,Bobby Bones,28.714285714285715,28.714285714285715,False,original,2018-10-01 2018-10-07,Bobby Bones Dancing with the Stars
27,3,Bobby Bones,21.428571428571427,21.428571428571427,False,original,2018-10-08 2018-10-14,Bobby Bones Dancing with the Stars
27,4,Bobby Bones,22.857142857142858,22.857142857142858,False,original,2018-10-15 2018-10-21,Bobby Bones Dancing with the Stars
27,5,Bobby Bones,22.428571428571427,22.428571428571427,False,original,2018-10-22 2018-10-28,Bobby Bones Dancing with the Stars
27,6,Bobby Bones,26.142857142857142,26.142857142857142,False,original,2018-10-29 2018-11-04,Bobby Bones Dancing with the Stars
27,7,Bobby Bones,23.0,23.0,False,original,2018-11-05 2018-11-11,Bobby Bones Dancing with the Stars
27,8,Bobby Bones,26.285714285714285,26.285714285714285,False,original,2018-11-12 2018-11-18,Bobby Bones Dancing with the Stars
27,9,Bobby Bones,19.428571428571427,19.428571428571427,False,original,2018-11-19 2018-11-25,Bobby Bones Dancing with the Stars
27,1,Danelle Umstead,29.428571428571427,29.428571428571427,False,original,2018-09-24 2018-09-30,Danelle Umstead Dancing with the Stars
